,id,name,categories,lat,lng,postalCode,rating
0,5040721ae4b01446aa41d438,Dishoom,Indian Restaurant,51.52451482185366,-0.0768497140891246,E2 7JE,9.4
1,56465da7498ec6f39fb6dee5,Gunpowder,Indian Restaurant,51.518436325253475,-0.0747323376373174,E1 7NF,8.9
2,4c712d74fa49a1cdee11a8e3,Dosa World,Indian Restaurant,51.520245,-0.07135816,E1 5JL,8.3
3,58cafdcece593d315f7bf042,Meraz Cafe,Indian Restaurant,51.520255999999996,-0.071085,E1 5JL,8.8
4,52f38b8b498e41cb2f27edcd,Tifinbox,Indian Restaurant,51.51634524607388,-0.07719514759508632,E1 7DB,8.4
5,4b7418d4f964a520b6c72de3,Cafe Spice Namaste,Indian Restaurant,51.51148456888737,-0.07069308621645129,E1 8AZ,7.8
6,4d8cabc66174a09350509ee3,Lahore One,Indian Restaurant,51.51472527714818,-0.05939866665757108,E1 2JT,8.0
7,597874df0313201b1a8c9d79,Rōla Wala,Indian Restaurant,51.519007,-0.077285,E1 6AT,7.5
8,5b0986c00a08ab002c2e44e0,Brigadiers,Indian Restaurant,51.51272137300544,-0.09192158012225396,EC4N 8AR,7.9
9,4c892e5d105237045dbdc6f1,Al Amin,Indian Restaurant,51.53294692095182,-0.05726522306541883,E2 9BU,7.9
10,4c9caf9b54c8a1cdbc4a7c4b,Zaza's,Indian Restaurant,51.51806627908081,-0.06434022002480312,E1 1HJ,7.5
11,4c2b9417b34ad13ad501eace,Anokha,Indian Restaurant,51.51375482882119,-0.07923020156645716,EC3A 5AY,7.3
12,4b817203f964a52080a630e3,Needoo Grill,Indian Restaurant,51.51707004121921,-0.062379116765590076,E1 1HH,7.6
13,4b7d87fdf964a520dbc42fe3,Mint Leaf Lounge,Indian Restaurant,51.514934523815135,-0.08746138288923422,EC2R 7HB,7.5
14,4afc034bf964a5207b1f22e3,Cinnamon Kitchen,Indian Restaurant,51.51700322691418,-0.07848810502139172,EC2M 4YL,6.8
15,4bccda710687ef3b5708e0cc,Halal Restaurant,Indian Restaurant,51.513428999999995,-0.071699,E1 8DJ,7.2
16,4bdb3d36c712b7133a9f63b4,The Empress,Indian Restaurant,51.511295729534226,-0.0687175730876356,E1 8EY,7.2
17,4b0da488f964a520f54c23e3,Bangalore Express,Indian Restaurant,51.51292774918557,-0.08475166840893586,EC3V 0AT,7.2
18,4ccdceebaa25a35dd5401d0f,Brick Lane Brasserie,Indian Restaurant,51.51985759,-0.07194763,E1 6QL,6.7
19,56c5b90fcd107873a1529b73,Shoreditch Stop,Indian Restaurant,51.524659352691366,-0.08086882499238611,,6.7
20,4ac518dbf964a52019a920e3,The Rajasthan 2,Indian Restaurant,51.51258403803977,-0.07604366158643386,EC3N 2HS,7.2
21,4cba0995bac9370427e1e87c,Muhib Indian Restaurant,Indian Restaurant,51.520103216263706,-0.07185820492153053,E1 6RL,6.4
22,5bb8b1032632ec002cf1f1f8,Naan Wrap,Indian Restaurant,51.519907,-0.07522899999999999,E1,6.6
23,4bd7367332a29521b60cd6b8,Khushbu Grill House,Indian Restaurant,51.51617375951453,-0.069602191963501,E1 7QX,6.7
24,4c743b3b1b30a093c019ec09,The Famous Moonlight,Indian Restaurant,51.517450781925255,-0.07073873016045437,E1 6RF,6.6
25,4b2aa3e9f964a520caac24e3,Monsoon,Indian Restaurant,51.5190653744873,-0.07164556149937591,E1 6RL,6.5
26,4c07ffaa6071a593f98fdb32,Dil Chad,Indian Restaurant,51.518094668269605,-0.07857112073400885,E1 7HP,6.7
27,4db9c3a06a23e2622d917d3d,The India,Indian Restaurant,51.51147905588744,-0.0919375590450137,EC4R 2RP,7.2
28,4ac518dcf964a52042a920e3,Bengal Cuisine,Indian Restaurant,51.517787269041044,-0.07087379938174483,E1 6RF,6.3
29,4b1cea85f964a5206f0a24e3,Curry Leaf East,Indian Restaurant,51.52232976112296,-0.08726694724835861,EC1Y 2AJ,6.7
30,4b92bbc8f964a520721634e3,Sheba,Indian Restaurant,51.520672694179964,-0.07184602102517645,E1 6RU,6.1
31,4ae0d2acf964a520db8221e3,Cafe Bangla,Indian Restaurant,51.52041012294455,-0.07189107750024687,E1 6RL,6.1
32,4b69d5abf964a52025b72be3,Masala,Indian Restaurant,51.51936246184693,-0.0716826998187875,E1 6RL,6.1
33,4b43ada4f964a5201ae625e3,Eastern Eye Balti House,Indian Restaurant,51.51971968760394,-0.07182657715126523,E1 6QL,6.1
34,4ac518e3f964a520b2aa20e3,Mala Restaurant,Indian Restaurant,51.50670436038178,-0.07073256539949707,E1W 1UH,6.5
35,4ade15e3f964a520017321e3,Standard Balti House,Indian Restaurant,51.520035559756614,-0.071877720850143,E1 6QL,6.1
36,4b6f1e66f964a52049de2ce3,City Spice,Indian Restaurant,51.5207697189441,-0.07181953304820604,E1 6RU,5.9
37,4c83f84ed4e23704a9cd7588,Red Chilli Restaurant,Indian Restaurant,51.51139991332615,-0.06881875435993012,E1 8EY,6.4
38,4b52f386f964a5203b8b27e3,Maida Indian Eatery,Indian Restaurant,51.525283529838845,-0.07069527203376459,E2 6DG,5.8
39,4ba5430ef964a5202ff338e3,Aladin,Indian Restaurant,51.520517524402074,-0.07187673749463368,E1 6RU,5.5
40,535526dd498e9b9e93a88a2f,indi-go @ Rich Mix,Indian Restaurant,51.52433348022542,-0.07295592162554032,,5.8
41,4ac7a512f964a520c0b820e3,PREEM Balti House,Indian Restaurant,51.52027458024868,-0.07188169967534777,E1 6RL,5.5
42,4b97d942f964a520db1935e3,Rajasthan III,Indian Restaurant,51.51515339313363,-0.07845236379597773,EC3A 7DB,5.9
43,59395029d8096e0e4c2ce125,Baba G's Bhangra Burger,Indian Restaurant,51.519511,-0.084492,E C2M,5.9
44,4af1f2dff964a520ade421e3,Cinnamon,Indian Restaurant,51.52064420604002,-0.0718283432982353,E1 6RU,5.6
45,4b6cc481f964a520f9522ce3,Bengal Village,Indian Restaurant,51.52017659619833,-0.07185537247934,E1 6QL,5.5
46,4b896da4f964a520563532e3,Brick Lane Clipper,Indian Restaurant,51.51976003170714,-0.07177079894442387,E1 6RL,5.6
47,4c03b240187ec9283ff5b57b,Preem and Prithi,Indian Restaurant,51.520223561458366,-0.07186976761204207,E1 6RU,5.3
48,58dc064f3ef0f673df716fdc,Jasmine,Indian Restaurant,51.520447999999995,-0.071815,E1 6RU,5.6
49,4b77054cf964a5202b752ee3,Café Raj,Indian Restaurant,51.520319,-0.07149,,-2.0
50,4dbc4a360437955ec02ec7ee,Brasserie House of Spice,Indian Restaurant,51.519903869728076,-0.07182071096378748,,-2.0
51,4be31fe021d5a59335421811,Mango,Indian Restaurant,51.519464453911716,-0.07168048123604448,E1 6RL,-2.0
52,4e208a42ae6015b2129c6fd9,Rajmahal Sweets,Indian Restaurant,51.519146514799004,-0.07164416711269289,E1 6PU,-2.0
53,5b925ded1c0b340039ead27f,Indi-Go Rasoi,Indian Restaurant,51.51945,-0.0752363,E1 6AA,-2.0
54,50d9afc1e4b0ab0eeff00629,Amar Gaon,Indian Restaurant,51.51846398458865,-0.07132668155007685,E1 6RF,-2.0
55,4c516a729d642d7fc10b7edd,Al Badar,Indian Restaurant,51.51843912608019,-0.07142345340912995,E1 6PU,-2.0
56,549c2ccc498e24891112be55,Shaad Grill,Indian Restaurant,51.517818,-0.07104500000000001,E1 6PU,-2.0
57,4ebbcccb0aafea64828a0f67,Walla Walla,Indian Restaurant,51.51712163297419,-0.08293552963727248,EC2M 7PD,-2.0
58,4ac518ddf964a52085a920e3,Sonargaon,Indian Restaurant,51.51710928398365,-0.07034844253573103,E1 6TD,-2.0
59,4ac518dbf964a52014a920e3,Rajasthan,Indian Restaurant,51.5093491165096,-0.08422412572575749,EC3R 8BU,6.2
60,4c93bb7bf244b1f7eb7f1b1d,Bombay Grill,Indian Restaurant,51.518618034857425,-0.06201733027183744,E1 1DE,-2.0
61,4e19fa3dae6092c27660bef7,Shahi Karahi,Indian Restaurant,51.51683823694888,-0.07009611111097687,E1 6TD,-2.0
62,4d6a746c30a7236a774282ac,Baraka,Indian Restaurant,51.517418,-0.066506,E1 1JX,-2.0
63,55f566db498e302d8af14759,indi go,Indian Restaurant,51.51981852911091,-0.075130090540654,,5.1
64,4c88e182944e224b25b21f85,Sripur,Indian Restaurant,51.50981871284247,-0.08072265952887196,EC3R 5AQ,5.9
65,4b647cb9f964a52034b72ae3,Mirch Masala,Indian Restaurant,51.515662734693365,-0.0655875960215279,E1 1RD,-2.0
66,585c2258158b9642d60e3347,Ambala Sweets,Indian Restaurant,51.51829,-0.06297961,E1 1JE,-2.0
67,4c365e5b0a71c9b6a40a3dc9,The Famous Curry Bazaar,Indian Restaurant,51.52021776318675,-0.07185320841405797,E1 6QL,5.3
68,4b608cb3f964a5201bed29e3,Papadoms,Indian Restaurant,51.519516713739826,-0.07159006791171536,E1 6RL,5.1
69,4b47b070f964a520aa3a26e3,Curry Capital,Indian Restaurant,51.52418277978318,-0.07154819370839262,E1 6SA,5.0
70,4ac518ddf964a52066a920e3,Bolton's,Indian Restaurant,51.51210650073094,-0.08290341797279391,EC3M 7JJ,-2.0
71,4b955bbdf964a520519e34e3,Saffron Restaurant,Indian Restaurant,51.518925,-0.071766,E1 6PU,5.0
72,4ac518dcf964a52035a920e3,Kasturi Restaurant - Aldgate,Indian Restaurant,51.514238848185094,-0.07478084862462919,EC3N 1AL,5.2
73,4cb9f6d543ec6dcb9908a131,Barbican Express Global Food,Indian Restaurant,51.52277159024728,-0.09272116009302346,E c1y,5.5
74,4bcf603bb221c9b6f6e9d1d0,Spice Trader,Indian Restaurant,51.51103847345543,-0.08399595276101574,EC3M 8AA,-2.0
75,4cb0aaa9aef16dcbd9ecb254,Hayfield Masala,Indian Restaurant,51.52104187708958,-0.04951382917629296,E1 4LJ,-2.0
76,4be30e2f2ff376b0ab454fed,Lahore Two,Indian Restaurant,51.514299679623534,-0.053578271447023464,E1  2p,-2.0
77,599430b1a6fe4d2ebed0bb25,The Wrap Guys,Indian Restaurant,51.52276642472744,-0.09276132437906594,EC1Y 8JL,-2.0
78,4b54ce0df964a5203ccd27e3,Tiffinbites,Indian Restaurant,51.51446067436703,-0.09237793727504423,EC2V 7PG,-2.0
79,59ec9efa112c6c3207d60f17,Wrapchic,Indian Restaurant,51.509722,-0.079925,EC3R 5AS,-2.0
80,5351bbe9498e9d1f4effb885,Al-Ikhwan,Indian Restaurant,51.522164000000004,-0.044616,,-2.0
81,4eb3ef298b81a81f8fdfdec5,Mumbai Square,Indian Restaurant,51.51564252962187,-0.07593180097504235,E1 7AA,4.8
82,5b6d7bdefe63bd002c888c6f,Pali Kitchen,Indian Restaurant,51.51266500000001,-0.093730465,E C4M,5.2
83,4cc891475c17b60cdf110405,Standard Tandoori,Indian Restaurant,51.53747899836356,-0.04459667494387482,,5.9
84,4e18b337d4c062b044eb0a80,Victoria Balti Tandoori,Indian Restaurant,51.53844989231713,-0.043582920470335816,E 9 7,-2.0
85,4b993dd4f964a520d16c35e3,Zaffrani's,Indian Restaurant,51.53925523720228,-0.10120195226035687,N1 2BB,8.7
86,4c653793e0c4be9a4e798758,Delhi Grill,Indian Restaurant,51.53347641442078,-0.10925027894733463,N1 9EZ,8.4
87,4b6c6fe8f964a520173a2ce3,Indian Veg,Indian Restaurant,51.53338723228376,-0.11051611836539303,N1 9EX,7.8
88,4ace3fdbf964a52067cf20e3,Masala Zone,Indian Restaurant,51.536669120282575,-0.10348129528196913,N1 0NJ,7.1
89,4c30eba666e40f47ab42c48b,Spices Indian Restaurant,Indian Restaurant,51.533438266465815,-0.11015666614849157,N1 9EZ,7.7
90,4be452e42468c928119bfe42,The Cinnamon Tree,Indian Restaurant,51.52537574169658,-0.11006374049645952,EC1R 4QE,6.9
91,5899bffaf5957244a5e2af7a,Tikkarito,Indian Restaurant,51.52134497908307,-0.10992200849089044,,7.5
92,4b44abc5f964a52015f925e3,Salaam Namaste,Indian Restaurant,51.52356055282114,-0.11808565819184567,WC1N 3EF,7.2
93,57b76221498e1601d747b782,New Delis London,Indian Restaurant,51.521639,-0.113552,WC1X 8PG,7.1
94,5324c111498e9e3b33122e15,Memsaab,Indian Restaurant,51.546015000000004,-0.112061,N7 8AU,6.4
95,4ffdd5a3e4b0346120e15f40,Indian Lounge,Indian Restaurant,51.53063237437664,-0.12223254971501644,WC1 X8PX,6.3
96,4acf870ff964a5204bd420e3,Taste Of India,Indian Restaurant,51.53994,-0.096957,N1 8LY,-2.0
97,4b5a12ecf964a520a1ab28e3,Euro Tandoori,Indian Restaurant,51.530474196408704,-0.12146713008958122,WC1X 8PX,6.0
98,4b91660ff964a52043b933e3,Bombay Lounge,Indian Restaurant,51.531733,-0.111292,N1 9PT,-2.0
99,50560983e4b0719d68a25ce1,Cafe Tiffin,Indian Restaurant,51.524704216388685,-0.10283183545781603,EC1V 0BN,-2.0
100,4ac518e3f964a520a5aa20e3,Angel Curry Centre,Indian Restaurant,51.53343044746863,-0.1103599814948558,N1 9EZ,-2.0
101,4ad0e5a9f964a520e0da20e3,Kings Cross Tandoori,Indian Restaurant,51.53065126830439,-0.12219920523819446,WC1X 8PX,-2.0
102,4c1d4612eac020a1e7f747c2,Khas tandoori,Indian Restaurant,51.548217,-0.087439,N1 4QT,-2.0
103,4bec5a66c43f2d7f8cc4dbd9,Gulshan,Indian Restaurant,51.52549162,-0.10993968333333333,,-2.0
104,4ac518e2f964a52093aa20e3,Chutney Raj,Indian Restaurant,51.524326204312885,-0.11558943308436925,WC1X 8TU,-2.0
105,58231ea2eb569a2f775eb256,Zabardast,Indian Restaurant,51.521879999999996,-0.11253677,EC1R 5DD,-2.0
106,5357f85b498ec6e73aae5b6d,Little India,Indian Restaurant,51.524391543418204,-0.11605976293031722,WC1X 8TU,-2.0
107,4d83c01140a7a35df3d4fcbd,Seema Tandoori,Indian Restaurant,51.516883221521475,-0.10490471076223144,EC4A 4AN,-2.0
108,4e35b5621f6e9e21ad5184bc,Standard Tandoori,Indian Restaurant,51.547881921643494,-0.10608549597929658,N7  8L,-2.0
109,4b6de2eef964a520cd982ce3,Mango Indian,Indian Restaurant,51.50498618680578,-0.09277812914673944,SE1 9HR,-2.0
110,523deff1498eea65e86e764a,Est. India,Indian Restaurant,51.50399878300186,-0.09521441727331392,SE1 1SG,-2.0
111,4fd9d0f6e4b053a8d3d22f90,Indian City,Indian Restaurant,51.51386014235742,-0.1043314788169738,EC4V 6AA,-2.0
112,4f36e716e4b0fc67a8b07d36,Shad Indian Restaurant,Indian Restaurant,51.50459129552639,-0.08278741146120876,SE1 2TH,-2.0
113,4b326cd9f964a520630b25e3,Sagar,Indian Restaurant,51.512715587998116,-0.1206348984622084,WC2B 5JS,-2.0
114,4c55da9072cf0f4752b5edd6,Chatkhara,Indian Restaurant,51.49288334517986,-0.09871762078900308,SE1 6SW,-2.0
115,4ac518dff964a520f3a920e3,Tower Tandoori,Indian Restaurant,51.496118,-0.08253379999999999,SE1 4TP,-2.0
116,51865084498e750990bec5ac,Horn OK Please,Indian Restaurant,51.50535760320381,-0.1163308389368467,SE1 8XX,-2.0
117,4c1f4de6b4e62d7f2d65df93,Chilli Сhutney,Indian Restaurant,51.50308135342486,-0.1158647568350921,SE1 7NJ,-2.0
118,4c10cf7ff1b6a59349667c27,Chillies Tandoori,Indian Restaurant,51.49862350099689,-0.10503716244488936,SE1 6HS,-2.0
119,5b6b5530cabcff002c9b7dce,Gunpowder,Indian Restaurant,51.503572001238915,-0.07731240634141201,SE1 2RY,-2.0
120,4acf8f47f964a5208dd420e3,India Club,Indian Restaurant,51.511622161455286,-0.11854926509938404,WC2R 1JA,-2.0
121,4bb9acdbb35776b0d10fca01,Cafe Nawaz,Indian Restaurant,51.50222553763337,-0.08800884471235015,SE1 3SS,-2.0
122,4d41f4311da9a09369345d3d,Simply Indian,Indian Restaurant,51.5005342114595,-0.09155464267339238,SE1 4LA,-2.0
123,4cae3b30c5e6a1cd3037c3f6,Truly Indian Restaurant,Indian Restaurant,51.50399383652889,-0.0911369152466808,SE 1 9,-2.0
124,4ee10fb530f810becb46b2cf,Indian Fusion,Indian Restaurant,51.503120564047784,-0.07690002590567042,SE1 2UP,-2.0
125,4b9ff194f964a520764c37e3,Bengal Tiger,Indian Restaurant,51.5133493884026,-0.10205978566237307,EC4V 5EA,-2.0
126,4b4db7fff964a5203fd626e3,Silka Restaurant,Indian Restaurant,51.505059748668096,-0.08992411289341272,SE1 1ZZ,-2.0
127,5a900e10840fc26f249d33a6,Zabardast,Indian Restaurant,51.506492,-0.103502,SE1 8BU,-2.0
128,4b6b2cf2f964a520a1f72be3,Thames Tandoori,Indian Restaurant,51.50394774265021,-0.11190870127239948,SE1 8UD,-2.0
129,4b43b26df964a520bce625e3,Spice of India,Indian Restaurant,51.502876316402045,-0.1079175533398144,SE1 8LL,-2.0
130,5c9d34acbed483002c096886,Baba G’s,Indian Restaurant,51.502773,-0.084048,SE1 3QU,-2.0
131,50561728e4b07ab78dde6c24,Cafe Ishaq,Indian Restaurant,51.49720347080815,-0.11179503184681973,SE1 7BL,-2.0
132,4e3aeae3a809ec554441994e,Anokha,Indian Restaurant,51.51293362734126,-0.10143404297220034,EC4V 5DR,-2.0
133,591760f1da5ede1d81677df9,Baluchi,Indian Restaurant,51.50329,-0.07931460000000001,SE1 2JR,-2.0
134,4f5df37de4b0c5418cf96603,Shaheen Tandori,Indian Restaurant,51.5000815026761,-0.10749336218840776,SE1 8XH,-2.0
135,574ea148498ef9f349577cc4,Zest,Indian Restaurant,51.513842,-0.11006300000000001,E C4Y,-2.0
136,50c245ffe4b0572e5610b56d,Temple Bar Indian,Indian Restaurant,51.51464080810547,-0.10931599885225296,EC4A 2EJ,-2.0
137,4eb841319adfc68713970302,Mumbai,Indian Restaurant,51.500241970093896,-0.07229531018017618,SE1 2BS,-2.0
138,4b0296c3f964a520044922e3,The Southbank Tandoori Ltd,Indian Restaurant,51.50323402251272,-0.10674954828245664,SE1 8LF,-2.0
139,4c4de055d667d13a5aab8d9f,Castle Tandoori,Indian Restaurant,51.49523385015194,-0.09947725952953307,SE1 6TE,-2.0
140,5559def5498ebd33e55b3478,Chai Ki,Indian Restaurant,51.50592843163335,-0.017871582771979786,E14 5AR,-2.0
141,4dd01553ae603b786d57e761,Laksha Bay,Indian Restaurant,51.5055643649476,-0.05812152236214513,E1W 2RW,-2.0
142,4b81b17cf964a5203eb830e3,Bengal Quay,Indian Restaurant,51.500963031132486,-0.020389735909995564,E14 9XL,-2.0
143,4d2b6cda467d6ea8eb31e095,Indiana,Indian Restaurant,51.51345629761564,-0.033131749125623534,E14 7PG,-2.0
144,4bd353f9046076b083ce7571,Rajboy,Indian Restaurant,51.51278973331693,-0.040672566594653216,E14 7JD,-2.0
145,4c34e65fa0ced13aa5f5186e,Lime Bar,Indian Restaurant,51.50127247504737,-0.02546997280690637,E14 8JZ,-2.0
146,4c827c18d34ca143555b2c80,The Tale of India,Indian Restaurant,51.50959435162528,-0.025612032240132487,E14 8HN,-2.0
147,4c93a82c58d4b60ca6532129,Spice Merchants,Indian Restaurant,51.5093068939089,-0.026907433323150057,E14 8AA,-2.0
148,4d94c8c7078ef04dbff33278,Royal Spice,Indian Restaurant,51.51200908885765,-0.02842833257391605,,-2.0
149,4c3a12b61e06d13a7ead7a3e,Aniseed,Indian Restaurant,51.501647390259954,-0.025763593116553952,E14 8JH,-2.0
150,536561cf498ef8322d9bacb9,Spice Indian Restaurant,Indian Restaurant,51.50185776787277,-0.02350906929714024,,-2.0
151,4bd9ed148668c9b6cb9ff209,Clifton,Indian Restaurant,51.499861050375976,-0.02570679793864081,E14 8LW,-2.0
